GeographyKey,ContinentName,RegionCountryName
1,Asia,
2,Europe,
3,North America,
269,Asia,Armenia
270,Oceania,Australia
271,Asia,Bhutan
272,Asia,China
273,Asia,India
274,Asia,Iran
275,Asia,Japan
276,Asia,Kyrgyzstan
277,Asia,Pakistan
278,Asia,Singapore
279,Asia,South Korea
280,Asia,Syria
281,Asia,Taiwan
282,Asia,Thailand
283,Asia,Turkmenistan
284,Europe,Denmark
285,Europe,France
286,Europe,Germany
287,Europe,Greece
288,Europe,the Netherlands
289,Europe,Ireland
290,Europe,Italy
291,Europe,Malta
292,Europe,Poland
293,Europe,Portugal
294,Europe,Romania
295,Europe,Russia
296,Europe,Slovenia
297,Europe,Spain
298,Europe,Sweden
299,Europe,Switzerland
300,Europe,United Kingdom
301,North America,Canada
302,North America,United States
303,Asia,Turkmenistan
304,Asia,Armenia
305,Asia,China
306,Asia,Japan
307,Asia,Kyrgyzstan
308,Asia,Syria
309,Asia,China
310,Asia,Japan
311,Asia,China
312,Asia,Pakistan
313,Asia,Japan
314,Asia,Japan
315,Asia,Thailand
316,Asia,India
317,Oceania,Australia
318,Asia,India
319,Oceania,Australia
320,Asia,South Korea
321,Asia,China
322,Asia,Singapore
323,Asia,Taiwan
324,Asia,Iran
325,Asia,Bhutan
326,Asia,Japan
327,Asia,India
328,Asia,China
329,Asia,South Korea
330,Europe,France
331,Europe,France
332,Europe,Germany
333,Europe,Germany
334,Europe,Germany
335,Europe,Switzerland
336,Europe,Romania
337,Europe,Greece
338,Europe,United Kingdom
339,Europe,Germany
340,Europe,France
341,Europe,Ireland
342,Europe,Portugal
343,Europe,Slovenia
344,Europe,Italy
345,Europe,Spain
346,Europe,France
347,Europe,Russia
348,Europe,Russia
349,Europe,the Netherlands
350,Europe,Germany
351,Europe,Germany
352,Europe,Russia
353,Europe,France
354,Europe,France
355,Europe,Italy
356,Europe,Italy
357,Europe,Germany
358,Europe,France
359,Europe,Italy
360,Europe,United Kingdom
361,Europe,Denmark
362,Europe,Sweden
363,Europe,Malta
364,Europe,Italy
365,Europe,Poland
366,North America,United States
367,North America,Canada
368,North America,Canada
369,North America,United States
370,North America,United States
371,North America,United States
372,North America,United States
373,North America,United States
374,North America,United States
375,North America,United States
376,North America,United States
377,North America,Canada
378,North America,Canada
379,North America,United States
380,North America,United States
381,North America,United States
382,North America,United States
383,North America,United States
384,Oceania,Australia
385,Europe,Germany
386,North America,United States
387,Europe,France
388,Europe,Germany
389,Europe,France
390,North America,United States
391,Europe,France
392,North America,United States
393,Europe,France
394,North America,United States
395,Europe,France
396,North America,United States
397,North America,United States
398,Europe,France
399,Europe,France
400,Europe,France
401,North America,United States
402,Europe,France
403,Europe,France
404,Europe,Germany
405,Europe,France
406,North America,United States
407,Oceania,Australia
408,North America,United States
409,North America,United States
410,Europe,France
411,North America,United States
412,Oceania,Australia
413,Europe,France
414,Europe,France
415,North America,United States
416,Europe,France
417,North America,United States
418,Europe,France
419,Europe,Germany
420,Oceania,Australia
421,North America,United States
422,North America,United States
423,Europe,United Kingdom
424,North America,United States
425,Oceania,Australia
426,Europe,United Kingdom
430,North America,United States
431,North America,United States
432,North America,United States
433,North America,United States
434,North America,United States
435,Europe,France
436,North America,United States
437,Europe,Germany
438,North America,United States
439,Europe,United Kingdom
440,North America,United States
441,North America,United States
442,North America,United States
443,North America,United States
444,North America,United States
445,North America,United States
